"data_registro","registro_anterior","intervalo"
"2026-03-10 18:58:11.767",NULL,NULL
"2026-03-10 19:03:11.139","2026-03-10 18:58:11.767","00:04:59.372"
"2026-03-10 19:08:11.427","2026-03-10 19:03:11.139","00:05:00.288"
"2026-03-10 19:13:11.18","2026-03-10 19:08:11.427","00:04:59.753"
"2026-03-10 19:18:11.46","2026-03-10 19:13:11.18","00:05:00.28"
"2026-03-10 19:23:11.443","2026-03-10 19:18:11.46","00:04:59.983"
"2026-03-10 19:28:11.944","2026-03-10 19:23:11.443","00:05:00.501"
"2026-03-10 19:33:11.329","2026-03-10 19:28:11.944","00:04:59.385"
"2026-03-10 19:38:11.748","2026-03-10 19:33:11.329","00:05:00.419"
"2026-03-10 19:43:11.489","2026-03-10 19:38:11.748","00:04:59.741"
"2026-03-10 19:48:13.047","2026-03-10 19:43:11.489","00:05:01.558"
"2026-03-10 19:53:11.267","2026-03-10 19:48:13.047","00:04:58.22"
"2026-03-10 19:58:11.277","2026-03-10 19:53:11.267","00:05:00.01"
"2026-03-10 20:03:11.398","2026-03-10 19:58:11.277","00:05:00.121"
"2026-03-10 20:08:11.252","2026-03-10 20:03:11.398","00:04:59.854"
"2026-03-10 20:13:17.37","2026-03-10 20:08:11.252","00:05:06.118"
"2026-03-10 20:18:11.315","2026-03-10 20:13:17.37","00:04:53.945"
"2026-03-10 20:23:11.576","2026-03-10 20:18:11.315","00:05:00.261"
"2026-03-10 20:28:11.257","2026-03-10 20:23:11.576","00:04:59.681"
"2026-03-10 20:33:11.329","2026-03-10 20:28:11.257","00:05:00.072"
