"tipo_fruta","mq3_tensao","estado_real","data_registro"
"banana",3.300000,"alerta","2026-03-11 17:34:35.147"
"banana",3.300000,"alerta","2026-03-11 17:39:35.148"
"banana",3.300000,"alerta","2026-03-11 17:24:34.967"
"banana",3.300000,"alerta","2026-03-11 17:29:35.011"
"banana",3.300000,"alerta","2026-03-11 17:14:35.415"
"banana",3.300000,"alerta","2026-03-11 17:04:34.821"
"banana",3.300000,"alerta","2026-03-11 17:09:34.964"
"banana",3.300000,"alerta","2026-03-11 17:19:34.732"
"banana",3.300000,"alerta","2026-03-11 16:59:34.785"
"banana",3.300000,"alerta","2026-03-11 17:49:35.616"
